t, torque1, torque2, torque3, torque4, torque5, torque6, torque7, q1, q2, q3, q4, q5, q6, q7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.004, 0.0, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
0.008, 0.0188493773259, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
0.012, 0.0376976830901, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00153398078789, -0.00306796157577, -0.00153398078789, 0.00306796157577, -0.00153398078789, -0.00306796157577, 0.00153398078789
0.016, 0.0565438457918, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00306796157577, 0.00153398078789, -0.00153398078789, 0.00306796157577, -0.00153398078789, -0.00920388472731, 0.00306796157577
0.02, 0.0753867940521, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00306796157577, 0.00306796157577, 0.00153398078789, 0.0, -0.00306796157577, -0.00306796157577, -0.00306796157577
0.024, 0.0942254566748, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00306796157577, 0.00153398078789, 0.00306796157577, 0.00153398078789, 0.0, -0.00920388472731, 0.00153398078789
0.028, 0.113058762707, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00153398078789, 0.00306796157577, 0.00306796157577, -0.00306796157577, -0.00306796157577, -0.00613592315154, 0.00306796157577
0.032, 0.131885641502, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00306796157577, 0.00153398078789, -0.00306796157577, -0.00153398078789, -0.00153398078789, -0.00306796157577, -0.00306796157577
0.036, 0.150705022775, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00153398078789, 0.00306796157577, -0.00153398078789, 0.00306796157577, 0.00153398078789, -0.00613592315154, 0.0
0.04, 0.169515836671, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00306796157577, -0.00153398078789, -0.00306796157577, 0.00306796157577, -0.00306796157577, -0.00920388472731, 0.00306796157577
0.044, 0.18831701382, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00153398078789, 0.0, 0.00306796157577, -0.00306796157577, -0.00306796157577, -0.00920388472731, 0.00153398078789
0.048, 0.207107485401, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00306796157577, 0.0, 0.00153398078789, 0.00153398078789, -0.00153398078789, -0.00920388472731, 0.0
0.052, 0.2258861832, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00306796157577, 0.0, 0.0, -0.00306796157577, 0.00153398078789, -0.00306796157577, -0.00306796157577
0.056, 0.244652039674, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00306796157577, -0.00153398078789, -0.00306796157577, -0.00306796157577, -0.00153398078789, -0.00306796157577, 0.0
0.06, 0.26340398801, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00153398078789, -0.00306796157577, 0.0, -0.00766990393943, 0.0
0.064, 0.282140962184, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00153398078789, -0.00306796157577, -0.00306796157577, -0.00306796157577, 0.0, -0.00920388472731, 0.0
0.068, 0.300861897024, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00306796157577, 0.00306796157577, 0.00306796157577, 0.00306796157577, -0.00153398078789, -0.00766990393943, 0.00306796157577
0.072, 0.319565728272, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00306796157577, 0.00153398078789, 0.00153398078789, -0.00153398078789, 0.0, -0.00920388472731, 0.00306796157577
0.076, 0.338251392638, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00153398078789, 0.00306796157577, -0.00153398078789, 0.0, 0.00306796157577, -0.00613592315154, 0.0
0.08, 0.356917827869, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00153398078789, -0.00153398078789, 0.00306796157577, 0.00306796157577, 0.00153398078789, -0.00306796157577, 0.00153398078789
0.084, 0.375563972802, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00153398078789, 0.00306796157577, 0.00153398078789, -0.00306796157577, 0.00306796157577, -0.00306796157577, 0.0
0.088, 0.39418876743, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00306796157577, 0.0, 0.00153398078789, 0.00153398078789, 0.00306796157577, -0.00460194236366, 0.00153398078789
0.092, 0.412791152957, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00153398078789, 0.00306796157577, -0.00306796157577, -0.00153398078789, 0.00153398078789, -0.00306796157577, 0.0
0.096, 0.431370071864, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00306796157577, 0.00153398078789, -0.00306796157577, 0.00153398078789, 0.00153398078789, -0.00766990393943, -0.00306796157577
0.1, 0.449924467964, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00306796157577, -0.00153398078789, -0.00306796157577, 0.0, 0.0, -0.00613592315154, 0.00306796157577
0.104, 0.468453286464, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00306796157577, -0.00306796157577, -0.00306796157577, 0.00153398078789, -0.00153398078789, -0.00920388472731, 0.0
0.108, 0.486955474027, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00153398078789, 0.00153398078789, 0.00306796157577, 0.0, -0.00920388472731, 0.0
0.112, 0.505429978827, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00153398078789, 0.00153398078789, -0.00306796157577, -0.00306796157577, -0.00153398078789, -0.00766990393943, -0.00153398078789
0.116, 0.523875750614, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00306796157577, 0.00153398078789, 0.0, 0.00306796157577, 0.0, -0.00920388472731, -0.00306796157577
0.12, 0.542291740771, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00306796157577, 0.00153398078789, 0.0, -0.00153398078789, -0.00153398078789, -0.00613592315154, -0.00306796157577
0.124, 0.560676902373, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00306796157577, -0.00306796157577, 0.00306796157577, 0.00306796157577, -0.00306796157577, -0.00920388472731, 0.0
0.128, 0.57903019025, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00306796157577, 0.0, 0.00306796157577, 0.0, -0.00153398078789, -0.00306796157577, 0.0
0.132, 0.59735056104, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00153398078789, -0.00153398078789, -0.00306796157577, -0.00306796157577, 0.00153398078789, -0.00460194236366, 0.0
0.136, 0.615636973257, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00153398078789, -0.00153398078789, -0.00306796157577, -0.00153398078789, -0.00306796157577, -0.00460194236366, 0.00306796157577
0.14, 0.633888387341, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00153398078789, -0.00306796157577, 0.00153398078789, -0.00306796157577, 0.0, -0.00613592315154, -0.00153398078789
0.144, 0.652103765725, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00153398078789, -0.00153398078789, 0.0, 0.0, -0.00306796157577, -0.00920388472731, 0.00153398078789
0.148, 0.670282072889, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00153398078789, -0.00153398078789, -0.00306796157577, 0.0, -0.00153398078789, -0.00460194236366, -0.00306796157577
0.152, 0.68842227542, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00306796157577, 0.00306796157577, 0.00153398078789, -0.00153398078789, 0.00306796157577, -0.00460194236366, -0.00153398078789
0.156, 0.706523342073, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00153398078789, 0.00153398078789, 0.0, -0.00306796157577, -0.00306796157577, -0.00766990393943, 0.00153398078789
0.16, 0.724584243827, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00153398078789, 0.00306796157577, 0.00153398078789, 0.00153398078789, 0.00153398078789, -0.00920388472731, -0.00153398078789
0.164, 0.742603953943, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00153398078789, -0.00153398078789, 0.00306796157577, -0.00306796157577, 0.00153398078789, -0.00613592315154, 0.0
